,time,lead_car.y,plant_car.y,PID.et,PID.ut,PID.etInt.y,PID.det.y,PID.P.y,PID.I.y,PID.D.y
195,19.3,384.17874999999844,374.1194072812771,0.05934271872132513,64.38077333592648,41.518513350106794,-0.28140031549711564,23.1436603013168,41.518513350106794,-0.28140031549711564
196,19.4,387.8149999999983,377.75699292351885,0.058007076479441366,64.004383103447,41.635838389601936,-0.25421511313707124,22.622759826982133,41.635838389601936,-0.25421511313707124
197,19.5,391.46874999999824,381.4118750187907,0.05687498120755663,63.726630579572486,41.75067802376642,-0.20529011514101858,22.181242670947086,41.75067802376642,-0.20529011514101858
198,19.6,395.13999999999805,385.08396431388513,0.05603568611292076,63.576091750131866,41.86353437641402,-0.14136021032125357,21.853917584039095,41.86353437641402,-0.14136021032125357
199,19.7,398.8287499999978,388.7732096695276,0.05554033047019402,63.56527382140047,41.975051006336656,-0.07050606831185413,21.66072888337567,41.975051006336656,-0.07050606831185413
200,19.8,402.5349999999977,392.4796018206586,0.05539817933907898,63.690063695663405,42.08593208395439,-0.0011583305317836023,21.605289942240802,42.08593208395439,-0.0011583305317836023
201,19.9,406.2587499999975,396.20317215163396,0.05557784836355495,63.931103764835264,42.196859054295714,0.05888384875311903,21.67536086178643,42.196859054295714,0.05888384875311903
202,20.0,409.99999999998255,399.9439868980403,0.056013101942255616,64.25683276823412,42.308414436207656,0.10330857454676767,21.84510975747969,42.308414436207656,0.10330857454676767
203,20.1,413.74624955805893,403.70182863462406,0.044420923434870474,55.53606325445881,42.412822853133974,-4.2009197382746475,17.324160139599485,42.412822853133974,-4.2009197382746475
204,20.2,417.4849992036732,407.47415749257283,0.010841711100397333,38.44549913142047,42.47138612162551,-8.254154319359996,4.22826732915496,42.47138612162551,-8.254154319359996
205,20.3,421.21624884928724,411.25585570086406,-0.039606851576820645,15.871496358429503,42.44490642143883,-11.126737948049275,-15.446672114960052,42.44490642143883,-11.126737948049275
206,20.4,424.9399984949011,415.04015778876794,-0.1001592938668523,-9.311150331272032,42.3062051104786,-12.555230833678237,-39.062124608072395,42.3062051104786,-12.555230833678237
207,20.5,428.6562481405151,418.8195143867846,-0.1632662462694725,-34.086688596115344,42.042568914299736,-12.455421465320804,-63.673836045094276,42.042568914299736,-12.455421465320804
208,20.6,432.36499778612915,422.58649669515495,-0.22149890902579727,-55.65030023812118,41.656411289382746,-10.92213700744299,-86.38457452006094,41.656411289382746,-10.92213700744299
209,20.7,436.066247431743,426.33463785167635,-0.2683904199333256,-71.71674622900271,41.16417113938176,-8.208653594387494,-104.67226377399697,41.16417113938176,-8.208653594387494
210,20.8,439.75999707735707,430.0591186102342,-0.2991215328771091,-80.7528710462578,40.59367068032533,-4.689143904510584,-116.65739782207254,40.59367068032533,-4.689143904510584
211,20.9,443.4462467229709,433.75722755866775,-0.31098083569685286,-82.11158326647062,39.980318082235264,-0.8093754269332676,-121.28252592177262,39.980318082235264,-0.8093754269332676
212,21.0,447.1249963685849,437.4285556538456,-0.30355928526068965,-76.0573971060625,39.36265134292883,2.968072802677635,-118.38812125166896,39.36265134292883,2.968072802677635
213,21.1,450.79624601419897,441.0749173633108,-0.2786713491118462,-63.68653389561574,38.777767914195216,6.217524343809067,-108.68182615362002,38.777767914195216,6.217524343809067
214,21.2,454.4599956598128,444.70002231922507,-0.24002665941225132,-46.75645038277643,38.25716797074685,8.596778817254735,-93.61039717077801,38.25716797074685,8.596778817254735
215,21.3,458.11624530542684,448.30894856556,-0.19270326013315753,-27.44918905744786,37.82346320401981,9.881619190463764,-75.15427145193144,37.82346320401981,9.881619190463764
216,21.4,461.76499495104076,451.90748833060854,-0.14249337956778163,-8.099166006849401,37.48827960045422,9.984972424131211,-55.572418031434836,37.48827960045422,9.984972424131211
217,21.5,465.4062445966548,455.50144794355356,-0.09520334689875654,9.081595685188333,37.251528516377896,8.959372459325488,-37.12930529051505,37.251528516377896,8.959372459325488
