"time","lead_car.y","Plant.y","et.y","PID.ut"
0,10,0,0,0
0.003835089117693897,10.00960059221421,1.373348704100966e-06,0.00959921886550319,19.69101183281864
0.003835089117693897,10.00960059221421,1.373348704100966e-06,0.00959921886550319,19.69101183281864
0.01,10.0250875,2.072293791445326e-05,0.02506677706208471,41.48074299024292
0.02,10.05035,0.0001480747047759214,0.05020192529522483,63.03104299836443
0.03,10.0757875,0.0004498159470010372,0.07533768405300023,77.16090789669641
0.04,10.1014,0.0009698486930869219,0.100430151306913,88.4930907604118
0.05,10.1271875,0.00174290079992316,0.1254445992000761,98.73164569480822
0.06,10.15315,0.002800128611140924,0.15034987138886,108.500476882123
0.07000000000000001,10.1792875,0.004171169870598524,0.1751163301294021,118.0238022017506
0.08,10.2056,0.00588488325879077,0.1997151167412099,127.3780211420488
0.09,10.2320875,0.007969602203290601,0.2241178977967095,136.5849545430748
0.1,10.25875,0.01045320927172356,0.2482967907282756,145.6463625613047
0.11,10.2855875,0.01336314453870858,0.272224355461292,154.5567178859116
0.12,10.3126,0.01672638999685765,0.2958736100031416,163.3079467629625
0.13,10.3397875,0.02056944552754599,0.3192180544724543,171.8911880181883
0.14,10.36715,0.02491830222618979,0.3422316977738102,180.2974523839173
0.15,10.3946875,0.02979841522550923,0.3648890847744912,188.517870266544
0.16,10.4224,0.03523467684949153,0.3871653231505086,196.5437869332611
0.17,10.4502875,0.04125139042426162,0.4090361095757391,204.3668078979084
0.18,10.47835,0.04787224486182355,0.4304777551381775,211.9788181031274
0.19,10.5065875,0.0551202901487891,0.4514672098512111,219.3719941862284
0.2,10.535,0.06301791345296791,0.4719820865470314,226.5388140272895
0.21,10.5635875,0.07158681651961231,0.4920006834803878,233.4720651100509
0.22,10.59235,0.08084799371121636,0.511502006288783,240.1648505003407
0.23,10.6212875,0.09082171121938584,0.5304657887806137,246.6105956137436
0.24,10.6504,0.1015274871326203,0.5488725128673799,252.8030544715814
0.25,10.6796875,0.1129840725201029,0.5667034274798972,258.7363154176164
0.26,10.70915,0.1252094334794326,0.5839405665205675,264.4048061506988
0.27,10.7387875,0.1382207342856959,0.600566765714305,269.8032982190543
0.28,10.7686,0.1520343215674389,0.6165656784325613,274.9269113020791
0.29,10.7985875,0.1666657095211585,0.6319217904788417,279.7711172033415
0.3,10.82875,0.182129566193975,0.6466204338060244,284.3317432653844
0.31,10.8590875,0.1984397008430855,0.660647799156914,288.6049752465002
0.32,10.8896,0.2156090523831576,0.6739909476168418,292.5873598035418
0.33,10.9202875,0.2336496789281229,0.6866378210718782,296.2758066008053
0.34,10.95115,0.2525727484320603,0.69857725156794,299.6675899769064
0.35,10.9821875,0.272388530433718,0.7097989695662825,302.7603501352408
0.36,11.0134,0.2931063889088336,0.7202936110911669,305.5520938800868
0.37,11.0447875,0.3147347762331181,0.7300527237668817,308.0411949284306
0.38,11.07635,0.3372812282569587,0.7390687717430406,310.2263938018314
0.39,11.1080875,0.3607523604962617,0.747335139503738,312.1067972829442
0.4,11.14,0.3851538654261989,0.7548461345738016,313.6818774343672
0.41,11.1720875,0.4104905108502105,0.7615969891497887,314.9514701980967
0.42,11.20435,0.4367661394524938,0.7675838605475054,315.9157735440634
0.43,11.2367875,0.4639836693776084,0.7728038306223919,316.5753452363681
0.44,11.2694,0.4921450959204884,0.7772549040795127,316.9311001761837
0.45,11.3021875,0.5212514942981707,0.7809360057018289,316.9843073321028
0.46,11.33515,0.5513030234939686,0.7838469765060321,316.7365862689486
0.47,11.3682875,0.5822989311636231,0.7859885688363768,316.1899032839937
0.48,11.4016,0.6142375595917215,0.7873624404082786,315.3465671556697
0.49,11.4350875,0.6471163526854944,0.7879711473145061,314.2092245097979
0.5,11.46875,0.6809318639919414,0.7878181360080578,312.7808548112186
0.51,11.5025875,0.7156797657231182,0.7869077342768822,311.0647649899244
0.52,11.5366,0.7513548587733038,0.7852451412266959,309.0645837104777
0.53,11.5707875,0.7879510837106876,0.782836416289312,306.7842552931852
0.54,11.60515,0.8254615327388857,0.7796884672611135,304.228033290652
0.55,11.6396875,0.8638784625391684,0.7758090374608315,301.4004737539908
0.5600000000000001,11.6744,0.9031933081104928,0.7712066918895069,298.3064281498412
0.57,11.7092875,0.9433966974587549,0.7658908025412448,294.9510359841116
0.58,11.74435,0.9844784671597695,0.759871532840231,291.3397171256947
0.59,11.7795875,1.02642767877626,0.7531598212237398,287.4781638395033
0.6,11.815,1.069232636099866,0.7457673639001339,283.3723325417231
0.61,11.8505875,1.112880903193178,0.7377065968068219,279.0284352886798
0.62,11.88635,1.157359323206017,0.728990676793984,274.4529310108944
0.63,11.9222875,1.20265403793939,0.7196334620606102,269.65251650401
0.64,11.9584,1.248750508129816,0.7096494918701843,264.634117188618
0.65,11.9946875,1.295633534426046,0.6990539655739543,259.4048776511236
0.66,12.03115,1.343287279029477,0.6878627209705233,253.9721519782402
0.67,12.0677875,1.391695287969017,0.6760922120309836,248.3434938975441
0.68,12.1046,1.440840513984223,0.6637594860157776,242.5266467358085
0.6899999999999999,12.1415875,1.490705339972686,0.6508821600273134,236.5295332120363
0.7,12.17875,1.541271602979071,0.6374783970209297,230.360245075413
0.71,12.2160875,1.592520618723357,0.6235668812766431,224.0270325932717
0.72,12.2536,1.644433206579578,0.6091667934204228,217.5382939188719
0.73,12.2912875,1.696989715012042,0.5942977849879565,210.9025643405528
0.74,12.32915,1.750170047426716,0.5789799525732846,204.1285054286936
0.75,12.3671875,1.80395368840489,0.5632338115951097,197.2248940936818
